36.0833,140.1167
35.685,139.7514
35.685,139.7514
35.4478,139.6425
35.685,139.7514
35.685,139.7514
-35.3164,150.4361
33.6064,130.4181
1.2931,103.8558
1.2931,103.8558
35.68536,139.75309
35.685,139.7514
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.685,139.7514
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
39.6237,-104.8738
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
36.5,127.75
36.5,127.75
24,121
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
34.9667,136.6167
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.685,139.7514
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.685,139.7514
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
38.4421,141.2414
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.5206,139.7172
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
34.6864,135.52
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.685,139.7514
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
40.8244,140.74
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.685,139.7514
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35.68536,139.75309
35,105
35,105
35,105
35,105
39.9289,116.3883
35,105
39.9289,116.3883
35,105
39.9289,116.3883
35,105
39.9289,116.3883
35,105
35,105
35,105
35,105
35,105
35,105
39.9289,116.3883
35,105
35,105
35,105
39.9289,116.3883
35,105
35,105
35,105
35,105
35,105
35,105
35,105
39.1422,117.1767
35,105
35,105
39.1422,117.1767
35,105
35,105
35,105
35,105
35,105
35,105
35,105
35,105
35,105
35,105
35,105
34.2583,108.9286
35,105
35,105
37.7269,112.4708
35,105
35,105
35,105
35,105
35,105
35,105
35,105
35,105
35,105
35,105
